Latitude (decimal degrees):	35.697
Longitude (decimal degrees):	104.011
Elevation (m):	3235
Radiation database:	PVGIS-ERA5


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220101:0030,4.2,13.34,2.04,-8.81,0.34,0.0
20220101:0130,32.28,49.28,11.99,-8.82,0.55,0.0
20220101:0230,614.32,699.36,20.49,-5.94,0.69,0.0
20220101:0330,754.06,883.58,26.93,-2.92,1.1,0.0
20220101:0430,817.7,983.84,30.63,-0.98,0.97,0.0
20220101:0530,821.42,994.04,31.05,0.21,1.03,0.0
20220101:0630,768.44,914.48,28.12,1.03,1.52,0.0
20220101:0730,643.76,748.38,22.29,1.15,1.86,0.0
20220101:0830,437.78,500.47,14.23,1.03,2.76,0.0
20220101:0930,156.78,197.22,4.59,0.0,2.83,0.0
20220101:1030,0.0,0.0,0.0,-2.51,2.9,0.0
20220101:1130,0.0,0.0,0.0,-4.54,2.69,0.0
20220101:1230,0.0,0.0,0.0,-5.9,2.34,0.0
20220101:1330,0.0,0.0,0.0,-6.92,2.0,0.0
20220101:1430,0.0,0.0,0.0,-7.77,1.59,0.0
20220101:1530,0.0,0.0,0.0,-8.2,1.1,0.0
20220101:1630,0.0,0.0,0.0,-7.62,0.55,0.0
20220101:1730,0.0,0.0,0.0,-7.84,0.28,0.0
20220101:1830,0.0,0.0,0.0,-8.22,0.21,0.0
20220101:1930,0.0,0.0,0.0,-8.74,0.21,0.0
20220101:2030,0.0,0.0,0.0,-9.04,0.28,0.0
20220101:2130,0.0,0.0,0.0,-9.58,0.21,0.0
20220101:2230,0.0,0.0,0.0,-9.54,0.21,0.0
20220101:2330,0.0,0.0,0.0,-9.66,0.34,0.0
20220102:0030,4.53,13.82,2.02,-9.96,0.34,0.0
20220102:0130,41.01,59.11,11.98,-9.57,0.21,0.0
20220102:0230,558.26,638.91,20.5,-5.69,0.07,0.0
20220102:0330,724.3,867.9,26.98,-1.74,0.21,0.0
20220102:0430,793.6,976.5,30.7,0.89,0.34,0.0
20220102:0530,815.05,1003.49,31.15,2.54,0.83,0.0
20220102:0630,759.52,921.09,28.24,3.52,1.17,0.0
20220102:0730,637.99,748.45,22.42,3.29,1.93,0.0
20220102:0830,434.23,501.39,14.36,2.93,2.55,0.0
20220102:0930,156.09,197.71,4.72,1.54,2.41,0.0
20220102:1030,0.0,0.0,0.0,-1.06,2.48,0.0
20220102:1130,0.0,0.0,0.0,-3.44,2.28,0.0
20220102:1230,0.0,0.0,0.0,-5.31,1.79,0.0
20220102:1330,0.0,0.0,0.0,-6.12,1.24,0.0
20220102:1430,0.0,0.0,0.0,-5.67,0.76,0.0
20220102:1530,0.0,0.0,0.0,-6.07,0.55,0.0
20220102:1630,0.0,0.0,0.0,-6.49,0.55,0.0
20220102:1730,0.0,0.0,0.0,-6.8,0.62,0.0
20220102:1830,0.0,0.0,0.0,-7.71,0.76,0.0
20220102:1930,0.0,0.0,0.0,-8.25,1.17,0.0
20220102:2030,0.0,0.0,0.0,-8.68,1.17,0.0
20220102:2130,0.0,0.0,0.0,-8.95,1.03,0.0
20220102:2230,0.0,0.0,0.0,-9.23,0.9,0.0
20220102:2330,0.0,0.0,0.0,-9.37,0.76,0.0
20220103:0030,4.33,13.51,2.0,-9.61,0.69,0.0
20220103:0130,45.22,63.88,11.98,-9.26,0.69,0.0
20220103:0230,497.21,556.45,20.53,-6.33,0.83,0.0
20220103:0330,657.72,758.43,27.02,-3.82,0.76,0.0
20220103:0430,740.67,868.69,30.78,-2.3,1.1,0.0
20220103:0530,691.66,802.46,31.25,-1.3,1.52,0.0
20220103:0630,695.09,808.3,28.36,-0.67,1.66,0.0
20220103:0730,540.73,621.52,22.55,-0.42,1.24,0.0
20220103:0830,386.11,442.99,14.5,-0.27,1.31,0.0
20220103:0930,132.95,169.53,4.86,-0.86,1.24,0.0
20220103:1030,0.0,0.0,0.0,-2.49,1.03,0.0
20220103:1130,0.0,0.0,0.0,-4.71,0.97,0.0
20220103:1230,0.0,0.0,0.0,-5.88,1.03,0.0
20220103:1330,0.0,0.0,0.0,-6.64,1.03,0.0
20220103:1430,0.0,0.0,0.0,-6.89,0.9,0.0
20220103:1530,0.0,0.0,0.0,-6.8,0.69,0.0
20220103:1630,0.0,0.0,0.0,-6.98,0.55,0.0
20220103:1730,0.0,0.0,0.0,-7.06,0.62,0.0
20220103:1830,0.0,0.0,0.0,-7.16,0.76,0.0
20220103:1930,0.0,0.0,0.0,-7.25,0.34,0.0
20220103:2030,0.0,0.0,0.0,-7.51,0.55,0.0
20220103:2130,0.0,0.0,0.0,-7.81,0.41,0.0
20220103:2230,0.0,0.0,0.0,-8.05,0.28,0.0
20220103:2330,0.0,0.0,0.0,-8.25,0.14,0.0
20220104:0030,4.6,13.99,1.99,-8.46,0.28,0.0
20220104:0130,34.26,51.59,11.99,-8.66,0.41,0.0
20220104:0230,589.84,666.77,20.55,-5.8,0.97,0.0
20220104:0330,745.83,863.15,27.08,-2.98,1.66,0.0
